,Position,Artist,Song Title,artist_pop,track_pop
347,45,Doja Cat and  The Weeknd,You Right,88,84
348,46,Cole Swindell,She Had Me At Heads Carolina,0,0
349,47,Doja Cat,Vegas,0,0
350,48,Gunna and  Future  and  Young Thug,Pushin P,0,0
351,49,Jordan Davis  and  Luke Bryan,Buy Dirt,0,0
352,50,SZA,I Hate U,82,79
353,51,Dove Cameron,Boyfriend,0,0
354,52,Joji,Glimpse Of Us,85,97
355,53,Jessica Darrow,Surface Pressure,0,0
356,54,Bailey Zimmerman,Fall In Love,0,0
357,55,CKay,Love Nwantiti (Ah Ah Ah),73,84
358,56,Nicki Minaj,Super Freaky Girl,0,0
359,57,Muni Long,Hrs And Hrs,0,0
360,58,Morgan Wallen,Sand In My Boots,0,0
361,59,Becky G X Karol G,MAMIII,81,87
362,60,Drake  and  21 Savage and  Project Pat,Knife Talk,0,0
363,61,Walker Hayes,AA,0,0
364,62,Megan Thee Stallion and  Dua Lipa,Sweetest Pie,0,0
365,63,Karol G,Provenza,0,0
366,64,Wizkid  and  Justin Bieber and  Tems,Essence,0,0
367,65,Mariah Carey,All I Want For Christmas Is You,76,67
368,66,Camila Cabello  and  Ed Sheeran,Bam Bam,0,0
369,67,Tyler Hubbard,5 Foot 9,0,0
370,68,Doja Cat,Get Into It (Yuh),0,0
371,69,Bad Bunny,Efecto,0,0
372,70,Bailey Zimmerman,Rock And A Hard Place,0,0
373,71,Luke Combs,Doin' This,0,0
374,72,Adele,Oh My God,0,0
375,73,NEIKED X Mae Muller X Polo G,Better Days,0,0
376,74,THE ANXIETY: WILLOW and  Tyler Cole,Meet Me At Our Spot,65,81
377,75,Lauren Spencer-Smith,Fingers Crossed,0,0
378,76,Taylor Swift,All Too Well (Taylor's Version),0,0
379,77,Bad Bunny and  Rauw Alejandro,Party,0,0
380,78,Bad Bunny,Despues de La Playa,0,0
381,79,Chris Stapleton,You Should Probably Leave,0,0
382,80,Brenda Lee,Rockin' Around The Christmas Tree,0,0
383,81,Lil Durk  and  Morgan Wallen,Broadway Girls,0,0
384,82,Parmalee,Take My Name,0,0
385,83,Lil Durk  and  Gunna,What Happened To Virgil,0,0
386,84,Future,Puffin On Zootiez,0,0
387,85,Kane Brown,Like I Love Country Music,0,0
388,86,Bobby Helms,Jingle Bell Rock,43,42
